"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","WDF2","WDF5","WSF2","WSF5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-12","8.50"," 1401"," 1401","0.00","0.0","  320","  320","19.9","25.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-13","9.40"," 1701"," 1644","0.00","0.0","  110","  110","17.0","21.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-14","8.28"," 1641"," 1724","0.00","0.0","  300","  290","21.9","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-15","12.30"," 1127"," 1126","0.00","0.0","   70","   60","23.9","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-16","10.07"," 1737"," 1732","0.39","0.0","  120","  120","21.0","25.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-17","10.29"," 0714"," 0729","0.15","0.0","   80","   90","21.0","23.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-18","8.28"," 1609"," 1428","0.08","0.0","  330","  320","19.9","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-19","12.30"," 1840"," 1840","0.00","0.0","  320","  320","23.0","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-20","8.28"," 1450"," 1449","0.00","0.0","  330","  320","17.9","25.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-21","9.17"," 1752"," 1700","0.00","0.0","  200","  190","21.0","25.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-22","8.50"," 1611"," 1843","0.15","0.0","  170","  150","19.9","23.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-23","10.07"," 1456"," 1454","0.01","0.0","   60","   50","17.0","21.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-24","12.97"," 1814"," 1813","0.00","0.0","  180","  180","23.0","25.9"
